product,complaint,category_id,complaint_lst,complaint_clean
Mortgage,"Hello : ditech.com is my mortgage company. They placed an automatic forbearance on my account and removed my auto payment after Hurricane Irma. I called about a week after the storm to ask that they remove the forbearance and return the auto payment. This was confirm by the agent and recorded by them. I received a letter just a few weeks ago stating that my auto payment was never returned and the agent who I spoke with after I received the letter actually read back the notes confirming that I called and asked to have forbearance removed and auto payment reinstated. So I asked again the agent to remove the forbearance and install auto payment. 

I called this past week to check if this was done yet, and the agent at that time said I still have a forbearance and no auto payment. 

As I right this complaint, I spoke with an agent today that informs me that I dont have auto payment and forbearance is still active. She placed me on hold, which has lasted an hour. 

Ditech is not responsive, and it is purposely choosing to keep my in forbearance when I have asked countless times to remove me. I also have asked countless times to reinstate auto payment and yet they choose not to listen. 

Please help XXXX XXXX, XXXX",0,"['helo', 'ditechcom', 'mortgage', 'company', 'placed', 'automatic', 'forbearance', 'acount', 'removed', 'auto', 'payment', 'huricane', 'irma', 'caled', 'wek', 'storm', 'ask', 'remove', 'forbearance', 'return', 'auto', 'payment', 'confirm', 'agent', 'recorded', 'received', 'leter', 'weks', 'ago', 'stating', 'auto', 'payment', 'never', 'returned', 'agent', 'spoke', 'received', 'leter', 'actualy', 'read', 'back', 'note', 'confirming', 'caled', 'asked', 'forbearance', 'removed', 'auto', 'payment', 'reinstated', 'asked', 'agent', 'remove', 'forbearance', 'instal', 'auto', 'payment', 'caled', 'past', 'wek', 'check', 'done', 'yet', 'agent', 'time', 'said', 'stil', 'forbearance', 'auto', 'payment', 'right', 'complaint', 'spoke', 'agent', 'today', 'informs', 'dont', 'auto', 'payment', 'forbearance', 'stil', 'active', 'placed', 'hold', 'lasted', 'hour', 'ditech', 'responsive', 'purposely', 'chosing', 'kep', 'forbearance', 'asked', 'countles', 'time', 'remove', 'also', 'asked', 'countles', 'time', 'reinstate', 'auto', 'payment', 'yet', 'chose', 'listen', 'please', 'help', 'xx', 'xx', 'xx']",helo ditechcom mortgage company placed automatic forbearance acount removed auto payment huricane irma caled wek storm ask remove forbearance return auto payment confirm agent recorded received leter weks ago stating auto payment never returned agent spoke received leter actualy read back note confirming caled asked forbearance removed auto payment reinstated asked agent remove forbearance instal auto payment caled past wek check done yet agent time said stil forbearance auto payment right complaint spoke agent today informs dont auto payment forbearance stil active placed hold lasted hour ditech responsive purposely chosing kep forbearance asked countles time remove also asked countles time reinstate auto payment yet chose listen please help xx xx xx
"Credit reporting, credit repair services, or other personal consumer reports","This a formal complaint against TransUnion regarding inaccuracy on my credit file. On XXXX XXXX, XXXX, I discovered that XXXX XXXX account number XXXX opened XXXX XXXX, XXXX is still being displayed on my credit report which is inaccurate. This account was disputed by me to be removed/deleted permanently from my credit file due to several proven inaccuracies. I contacted XXXX XXXX as well regarding this matter and I was informed that an "" account deletion '' was mailed to all three credit bureaus. Please delete this item immediately. This account was deleted between XXXX and XXXX by XXXX and XXXX which I have proof. I know that CRAs do not share credit information with one another and that it 's FCRA law that the furnishers update these agencies with the accurate and updated information. However, this is NOT the case because XXXX XXXX complied to the FCRA Law when they notified TransUnion in writing for this account to be deleted from my credit file. I 'm requesting that you follow suit with XXXX and XXXX by DELETING/REMOVING this account from my credit file.",1,"['formal', 'complaint', 'trans', 'union', 'regarding', 'inacuracy', 'credit', 'file', 'xx', 'xx', 'xx', 'discovered', 'xx', 'xx', 'acount', 'number', 'xx', 'opened', 'xx', 'xx', 'xx', 'stil', 'displayed', 'credit', 'report', 'inacurate', 'acount', 'disputed', 'removedeleted', 'permanently', 'credit', 'file', 'due', 'several', 'proven', 'inacuracies', 'contacted', 'xx', 'xx', 'wel', 'regarding', 'mater', 'informed', 'acount', 'deletion', 'mailed', 'al', 'thre', 'credit', 'bureau', 'please', 'delete', 'item', 'imediately', 'acount', 'deleted', 'betwen', 'xx', 'xx', 'xx', 'xx', 'prof', 'know', 'cras', 'share', 'credit', 'information', 'one', 'another', 'fcra', 'law', 'furnishers', 'update', 'agency', 'acurate', 'updated', 'information', 'however', 'case', 'xx', 'xx', 'complied', 'fcra', 'law', 'notified', 'trans', 'union', 'writing', 'acount', 'deleted', 'credit', 'file', 'requesting', 'folow', 'suit', 'xx', 'xx', 'deletingremoving', 'acount', 'credit', 'file']",formal complaint trans union regarding inacuracy credit file xx xx xx discovered xx xx acount number xx opened xx xx xx stil displayed credit report inacurate acount disputed removedeleted permanently credit file due several proven inacuracies contacted xx xx wel regarding mater informed acount deletion mailed al thre credit bureau please delete item imediately acount deleted betwen xx xx xx xx prof know cras share credit information one another fcra law furnishers update agency acurate updated information however case xx xx complied fcra law notified trans union writing acount deleted credit file requesting folow suit xx xx deletingremoving acount credit file
"Credit reporting, credit repair services, or other personal consumer reports","I believe that an old account I had with XXXX XXXX  XXXX XXXX was charged off on an expedited level. The FDIC standard is of course 120 days, unless the account is sold at full value. Accordingly, the XXXX XXXX account was sold off to a debt buying agency at full value. Accordingly, XXXX XXXX   XXXX XXXX has reported the account as a permanent charge off status, which does not apply to debt purchases to a third-party, See Henson v. Santander Consumer Financial USA , Inc. ( ATTACHED ). I believe that this account should read as a continued balance with the payment history removal, along with the charge off standard removed. This in turn will fulfill the subscriber agreement XXXX XXXX   has with each credit reporting agency respectively.",1,"['believe', 'old', 'acount', 'xx', 'xx', 'xx', 'xx', 'charged', 'expedited', 'level', 'fdic', 'standard', 'course', 'day', 'unles', 'acount', 'sold', 'ful', 'value', 'acordingly', 'xx', 'xx', 'acount', 'sold', 'debt', 'buying', 'agency', 'ful', 'value', 'acordingly', 'xx', 'xx', 'xx', 'xx', 'reported', 'acount', 'permanent', 'charge', 'status', 'aply', 'debt', 'purchase', 'thirdparty', 'se', 'henson', 'v', 'santander', 'consumer', 'financial', 'usa', 'inc', 'atached', 'believe', 'acount', 'read', 'continued', 'balance', 'payment', 'history', 'removal', 'along', 'charge', 'standard', 'removed', 'turn', 'wil', 'fulfil', 'subscriber', 'agrement', 'xx', 'xx', 'credit', 'reporting', 'agency', 'respectively']",believe old acount xx xx xx xx charged expedited level fdic standard course day unles acount sold ful value acordingly xx xx acount sold debt buying agency ful value acordingly xx xx xx xx reported acount permanent charge status aply debt purchase thirdparty se henson v santander consumer financial usa inc atached believe acount read continued balance payment history removal along charge standard removed turn wil fulfil subscriber agrement xx xx credit reporting agency respectively
"Payday loan, title loan, or personal loan",I took out a title loan in XX/XX/2017 and didn't make a payment due to loss of my job as well as getting XXXX XXXX  XXXX which landed me in XXXX for 12 days on XXXX XXXX. I recently got my truck repossessed which I understand but they are trying to say I owe them XXXX to receive my vehicle. I am willing to pay them via my parents who now know but didn't previously. My mother said she can pay like {$300.00} a month but not everything all at once.,2,"['tok', 'title', 'loan', 'xx', 'make', 'payment', 'due', 'los', 'job', 'wel', 'geting', 'xx', 'xx', 'xx', 'landed', 'xx', 'day', 'xx', 'xx', 'recently', 'got', 'truck', 'repossed', 'understand', 'trying', 'say', 'owe', 'xx', 'receive', 'vehicle', 'wiling', 'pay', 'via', 'parent', 'know', 'previously', 'mother', 'said', 'pay', 'like', 'month', 'everything', 'al']",tok title loan xx make payment due los job wel geting xx xx xx landed xx day xx xx recently got truck repossed understand trying say owe xx receive vehicle wiling pay via parent know previously mother said pay like month everything al
Mortgage,"A customer service agent from  Ocwen  Mortgage presumably in the  XXXX  called me and advised me that I needed to pay {$240.00} to reinstate the mortgage. No methodology of payment was required or provided. I made a payment of {$61.00}, the normal payment, a payment of {$120.00} or twice the normal payment and a payment of {$61.00} all using  XXXX   XXXX  Bill Payment.  XXXX   XXXX  immediately takes the money from my account into a suspense fund and makes the payment electronically to  Ocwen. Ocwen  refused the payment and returned the money electronically. When I asked why, they said that the electronic payment was not certified funds. They demanded that I send a wire transfer immediately. I did so from my bank  (   XXXX   XXXX   )  to their bank  (   XXXX   XXXX   )  costing me {$15.00}. I called in and spoke with  XXXX  ID #  XXXX  and she documented the wire transfer number, but was not able to verify receipt. I asked to speak to a  manager  to verify the wire transfer or to find out why they could not verify it immediately. I was transferred to  XXXX , ID #  XXXX  and asked why she could not verify the wire transfer of {$240.00}. I all got were standard answers and that it would take two days, blah, blah, blah. Sorry, I have been doing wire transfers for about forty years and they have been nearly instantaneous in that time frame. I asked  XXXX  to verify the wire transfer number and she initially refused. I said that  XXXX  said that she added the wire transfer number to my account. All of this transpired on Monday  XX/XX/2017   . I tried to reach the OCWEN Ombudsman, the prior Friday and Saturday, but to no avail. I had spoken to a Customer Service Representative in  XXXX  first thing in the morning and the guy just wanted to lecture me and create further problems. I demanded that this guy be fired.",0,"['customer', 'service', 'agent', 'ocwen', 'mortgage', 'presumably', 'xx', 'caled', 'advised', 'neded', 'pay', 'reinstate', 'mortgage', 'methodology', 'payment', 'required', 'provided', 'made', 'payment', 'normal', 'payment', 'payment', 'twice', 'normal', 'payment', 'payment', 'al', 'using', 'xx', 'xx', 'bil', 'payment', 'xx', 'xx', 'imediately', 'take', 'money', 'acount', 'suspense', 'fund', 'make', 'payment', 'electronicaly', 'ocwen', 'ocwen', 'refused', 'payment', 'returned', 'money', 'electronicaly', 'asked', 'said', 'electronic', 'payment', 'certified', 'fund', 'demanded', 'send', 'wire', 'transfer', 'imediately', 'bank', 'xx', 'xx', 'bank', 'xx', 'xx', 'costing', 'caled', 'spoke', 'xx', 'id', 'xx', 'documented', 'wire', 'transfer', 'number', 'able', 'verify', 'receipt', 'asked', 'speak', 'manager', 'verify', 'wire', 'transfer', 'find', 'could', 'verify', 'imediately', 'transfered', 'xx', 'id', 'xx', 'asked', 'could', 'verify', 'wire', 'transfer', 'al', 'got', 'standard', 'answer', 'would', 'take', 'two', 'day', 'blah', 'blah', 'blah', 'sory', 'ben', 'wire', 'transfer', 'forty', 'year', 'ben', 'nearly', 'instaneous', 'time', 'frame', 'asked', 'xx', 'verify', 'wire', 'transfer', 'number', 'initialy', 'refused', 'said', 'xx', 'said', 'aded', 'wire', 'transfer', 'number', 'acount', 'al', 'transpired', 'monday', 'xx', 'tried', 'reach', 'ocwen', 'ombudsman', 'prior', 'friday', 'saturday', 'avail', 'spoken', 'customer', 'service', 'representative', 'xx', 'first', 'thing', 'morning', 'guy', 'wanted', 'lecture', 'create', 'problem', 'demanded', 'guy', 'fired']",customer service agent ocwen mortgage presumably xx caled advised neded pay reinstate mortgage methodology payment required provided made payment normal payment payment twice normal payment payment al using xx xx bil payment xx xx imediately take money acount suspense fund make payment electronicaly ocwen ocwen refused payment returned money electronicaly asked said electronic payment certified fund demanded send wire transfer imediately bank xx xx bank xx xx costing caled spoke xx id xx documented wire transfer number able verify receipt asked speak manager verify wire transfer find could verify imediately transfered xx id xx asked could verify wire transfer al got standard answer would take two day blah blah blah sory ben wire transfer forty year ben nearly instaneous time frame asked xx verify wire transfer number initialy refused said xx said aded wire transfer number acount al transpired monday xx tried reach ocwen ombudsman prior friday saturday avail spoken customer service representative xx first thing morning guy wanted lecture create problem demanded guy fired
"Credit reporting, credit repair services, or other personal consumer reports",I HAVE REVIEWED MY CREDIT REPORT AND FOUND A FEW INACCURATE ACCOUNTS AND SOME ENTRIES IDENTIFIED AS INQUIRIES THAT WAS PLACED ON MY CREDIT WITHOUT MY KNOWLEDGE. THESE NEGATIVE ACCOUNTS AND INQUIRIES HAVE CAUSED A GREAT DEED OF HARDSHIP ON MY CREDIT AND TO MYSELF. I HAVE KNOW IDEA OF ANYONE WHO WOULD HAVE MY PERSONAL INFORMATION AND WOULD DO SUCH A THING TO ME. I'M ASKING THAT YOU PLEASE RE-INVESTIGATE THE ACCOUNTS AND INQUIRIES AND HAVE THEM REMOVED OFF MY CREDIT AS SOON AS POSSIBLE.,1,"['reviewed', 'credit', 'report', 'found', 'inacurate', 'acounts', 'entry', 'identified', 'inquiry', 'placed', 'credit', 'without', 'knowledge', 'negative', 'acounts', 'inquiry', 'caused', 'great', 'ded', 'hardship', 'credit', 'know', 'idea', 'anyone', 'would', 'personal', 'information', 'would', 'thing', 'asking', 'please', 'reinvestigate', 'acounts', 'inquiry', 'removed', 'credit', 'son', 'posible']",reviewed credit report found inacurate acounts entry identified inquiry placed credit without knowledge negative acounts inquiry caused great ded hardship credit know idea anyone would personal information would thing asking please reinvestigate acounts inquiry removed credit son posible
"Credit reporting, credit repair services, or other personal consumer reports","A letter dated XXXX XXXX, XXXX from USAA Federal Savings Bank stated a successfully paid off my balance to my motorcycle loan and I would receive my loan in the mail. I now have the loan in my name with the release of lien and still the account appears under my XXXX bureau credit report as delinquent and that I still how. This is a violation of the fair credit reporting act and demand action be taken against this institution as I am no longer liable for this account. In addition I will require compensation for this mishap.",1,"['leter', 'dated', 'xx', 'xx', 'xx', 'usa', 'federal', 'saving', 'bank', 'stated', 'sucesfuly', 'paid', 'balance', 'motorcycle', 'loan', 'would', 'receive', 'loan', 'mail', 'loan', 'name', 'release', 'lien', 'stil', 'acount', 'apears', 'xx', 'bureau', 'credit', 'report', 'delinquent', 'stil', 'violation', 'fair', 'credit', 'reporting', 'act', 'demand', 'action', 'taken', 'institution', 'longer', 'liable', 'acount', 'adition', 'wil', 'require', 'compensation', 'mishap']",leter dated xx xx xx usa federal saving bank stated sucesfuly paid balance motorcycle loan would receive loan mail loan name release lien stil acount apears xx bureau credit report delinquent stil violation fair credit reporting act demand action taken institution longer liable acount adition wil require compensation mishap
Mortgage,"I recently purchased my first home using a FHA loan. My loan was sold to Amerihome Mortgage and I have been having issues getting them to accept my mortgage payment ever since. I have submitted multiple payments through their online system, their phone system, and XXXX XXXX Bill Pay only to have the payment be rejected by Amerihome each time. I have the correct account number and have the funds in my bank account. I have called them numerous times, had a threeway call with Amerihome and XXXX XXXX, and still have not had this issue resolved. Despite Amerihome being aware of the issue, they continue to harass me with automated calls demanding payments. They do not respond to my emails, and always promise to have a supervisor call me back, but I have not recieved any calls besides the harassing automated payments. I warned Amerihome that I would file a complaint with BCFP but clearly they are not worried about it because I am still unable to successfully submit a payment to them. I am at my whits end and just want to have my mortgage paid and my credit clean. Please help me! 

Thank you!",0,"['recently', 'purchased', 'first', 'home', 'using', 'fha', 'loan', 'loan', 'sold', 'amerihome', 'mortgage', 'ben', 'isues', 'geting', 'acept', 'mortgage', 'payment', 'ever', 'since', 'submited', 'multiple', 'payment', 'online', 'system', 'phone', 'system', 'xx', 'xx', 'bil', 'pay', 'payment', 'rejected', 'amerihome', 'time', 'corect', 'acount', 'number', 'fund', 'bank', 'acount', 'caled', 'numerous', 'time', 'threway', 'cal', 'amerihome', 'xx', 'xx', 'stil', 'isue', 'resolved', 'despite', 'amerihome', 'aware', 'isue', 'continue', 'haras', 'automated', 'cals', 'demanding', 'payment', 'respond', 'email', 'always', 'promise', 'supervisor', 'cal', 'back', 'recieved', 'cals', 'besides', 'harasing', 'automated', 'payment', 'warned', 'amerihome', 'would', 'file', 'complaint', 'bcfp', 'clearly', 'woried', 'stil', 'unable', 'sucesfuly', 'submit', 'payment', 'whit', 'end', 'want', 'mortgage', 'paid', 'credit', 'clean', 'please', 'help', 'thank']",recently purchased first home using fha loan loan sold amerihome mortgage ben isues geting acept mortgage payment ever since submited multiple payment online system phone system xx xx bil pay payment rejected amerihome time corect acount number fund bank acount caled numerous time threway cal amerihome xx xx stil isue resolved despite amerihome aware isue continue haras automated cals demanding payment respond email always promise supervisor cal back recieved cals besides harasing automated payment warned amerihome would file complaint bcfp clearly woried stil unable sucesfuly submit payment whit end want mortgage paid credit clean please help thank
Credit card or prepaid card,"( paid before it was due online ) XX/XX/2018-i paid {$50.00} to Discover ( I am XXXX and am having problems with my bills, so I got legal advice that said to pay them something and pay on time ) { also, they previously not only let me go over luimit, but apparently confused me about things including about what was owed and "" we '' thought I also had a 18 deferred interest rate aswell-note : someone helped me apply for this card originally because they thougt the 5 % ,3 % etc onpurcahese would be a good thing And Help My Credit, but apparently those purchases got 'fudged ' and it was never clear what actually qualified } Then they kept trying to get me to get aloan with them even I wasn't paying it off, but paying what they asked ( which was harder and harder and it kept going up even before a year ) and there were purchase I didn't make, but didn't know how ot dispute. Anyway, i went to frreelegal help and they said to pay at least {$50.00}. 
( tried to pay before it was due as well ) XX/XX/2018-i tried to pay {$50.00}. They wouldn't let me and I saw that they said I not only didn't pay in XXXX, but that I was also late. ( which apparently causeing problems with my credit now ) I have never been late on this card, we even made pre payments in the months before due { .example :. I paid them in late XXXX on a bill due in XXXX. } so I kept trying to pay them and they wouldn't let me. Then they started putting up options-like pay this amount for 12 months at different %, etc. So even though {$130.00} was too high, it was best option, even if it wasn't. I had too not pay on another bill for home needs. 
Then I started getting emails that my credit score had been changed and that there was activity on it. Which others were trying to keep from happening. 
XX/XX/2018-i went on to try and pay the again and they said min due was almost {$400.00} and that I was still late, and it was keeping me from paying the ' {$130.00} payments they bullied me into paying in XXXX ' Some chat person came on and I told them I have never been late and thety started condescending me again and not answereing my questions again. I finally, just said, well I guess im niot paying you and I will be respoprting you to XXXX, etc and also that I guess ill have to have the Debt creditr people help me now. ALL I wanted was tio have beter credit and to just live and be a good American. They left me no choice. now I have tio have a debvt consolidation company come in ( I really don't even owe them most of what they say-most is interest and other'possible fraud ' of someone else. I need help, they has caused me XXXX XXXX XXXX, etc. They have made the Credit reporting people now destroy my credit.",3,"['paid', 'due', 'online', 'xxi', 'paid', 'discover', 'xx', 'problem', 'bils', 'got', 'legal', 'advice', 'said', 'pay', 'something', 'pay', 'time', 'also', 'previously', 'let', 'go', 'luimit', 'aparently', 'confused', 'thing', 'including', 'owed', 'thought', 'also', 'defered', 'interest', 'rate', 'aswelnote', 'someone', 'helped', 'aply', 'card', 'originaly', 'thougt', 'etc', 'onpurcahese', 'would', 'god', 'thing', 'help', 'credit', 'aparently', 'purchase', 'got', 'fudged', 'never', 'clear', 'actualy', 'qualified', 'kept', 'trying', 'get', 'get', 'aloan', 'even', 'paying', 'paying', 'asked', 'harder', 'harder', 'kept', 'going', 'even', 'year', 'purchase', 'make', 'know', 'ot', 'dispute', 'anyway', 'went', 'frelegal', 'help', 'said', 'pay', 'least', 'tried', 'pay', 'due', 'wel', 'xxi', 'tried', 'pay', 'would', 'let', 'saw', 'said', 'pay', 'xx', 'also', 'late', 'aparently', 'causeing', 'problem', 'credit', 'never', 'ben', 'late', 'card', 'even', 'made', 'pre', 'payment', 'month', 'due', 'example', 'paid', 'late', 'xx', 'bil', 'due', 'xx', 'kept', 'trying', 'pay', 'would', 'let', 'started', 'puting', 'optionslike', 'pay', 'amount', 'month', 'diferent', 'etc', 'even', 'though', 'high', 'best', 'option', 'even', 'wasnt', 'pay', 'another', 'bil', 'home', 'neds', 'started', 'geting', 'email', 'credit', 'score', 'ben', 'changed', 'activity', 'others', 'trying', 'kep', 'hapening', 'xxi', 'went', 'try', 'pay', 'said', 'min', 'due', 'almost', 'stil', 'late', 'keping', 'paying', 'payment', 'bulied', 'paying', 'xx', 'chat', 'person', 'came', 'told', 'never', 'ben', 'late', 'thety', 'started', 'condescending', 'answereing', 'question', 'finaly', 'said', 'wel', 'gues', 'im', 'niot', 'paying', 'wil', 'respoprting', 'xx', 'etc', 'also', 'gues', 'il', 'debt', 'creditr', 'people', 'help', 'al', 'wanted', 'tio', 'beter', 'credit', 'live', 'god', 'american', 'left', 'choice', 'tio', 'debvt', 'consolidation', 'company', 'come', 'realy', 'even', 'owe', 'saymost', 'interest', 'otherposible', 'fraud', 'someone', 'else', 'ned', 'help', 'caused', 'xx', 'xx', 'xx', 'etc', 'made', 'credit', 'reporting', 'people', 'destroy', 'credit']",paid due online xxi paid discover xx problem bils got legal advice said pay something pay time also previously let go luimit aparently confused thing including owed thought also defered interest rate aswelnote someone helped aply card originaly thougt etc onpurcahese would god thing help credit aparently purchase got fudged never clear actualy qualified kept trying get get aloan even paying paying asked harder harder kept going even year purchase make know ot dispute anyway went frelegal help said pay least tried pay due wel xxi tried pay would let saw said pay xx also late aparently causeing problem credit never ben late card even made pre payment month due example paid late xx bil due xx kept trying pay would let started puting optionslike pay amount month diferent etc even though high best option even wasnt pay another bil home neds started geting email credit score ben changed activity others trying kep hapening xxi went try pay said min due almost stil late keping paying payment bulied paying xx chat person came told never ben late thety started condescending answereing question finaly said wel gues im niot paying wil respoprting xx etc also gues il debt creditr people help al wanted tio beter credit live god american left choice tio debvt consolidation company come realy even owe saymost interest otherposible fraud someone else ned help caused xx xx xx etc made credit reporting people destroy credit
Checking or savings account,"Opened a college checking account with Chase. Deposited 2 checks in 2 days, each for {$2000.00} ( from parent ). Funds were held until checks cleared, at which point Chase immediately closed the account. The closure letter, dated XX/XX/XXXX, said a check for the funds would be sent. It's now XX/XX/XXXX and no check has been sent. Chase indicates they are waiting to "" verify '' the already-cleared checks. They won't say what "" verifying '' means or when that might happen.",4,"['opened', 'colege', 'checking', 'acount', 'chase', 'deposited', 'check', 'day', 'parent', 'fund', 'held', 'check', 'cleared', 'point', 'chase', 'imediately', 'closed', 'acount', 'closure', 'leter', 'dated', 'xxxx', 'said', 'check', 'fund', 'would', 'sent', 'xxxx', 'check', 'ben', 'sent', 'chase', 'indicates', 'waiting', 'verify', 'alreadycleared', 'check', 'wil', 'say', 'verifying', 'mean', 'might', 'hapen']",opened colege checking acount chase deposited check day parent fund held check cleared point chase imediately closed acount closure leter dated xxxx said check fund would sent xxxx check ben sent chase indicates waiting verify alreadycleared check wil say verifying mean might hapen
